o,d,losstime,
地铁1号线莘庄,地铁1号线外环路,988620,1.6477
地铁1号线外环路,地铁1号线莲花路,1114980,1.8583
地铁1号线莲花路,地铁1号线锦江乐园,1335750,2.22625
地铁1号线锦江乐园,地铁1号线上海南站,1448550,2.41425
地铁1号线上海南站,地铁1号线漕宝路,1513380,2.5223
地铁1号线漕宝路,地铁1号线上海体育馆,1481820,2.4697
地铁1号线上海体育馆,地铁1号线徐家汇,1267380,2.1123
地铁1号线徐家汇,地铁1号线衡山路,1249470,2.08245
地铁1号线衡山路,地铁1号线常熟路,1243140,2.0719
地铁1号线常熟路,地铁1号线陕西南路,1239180,2.0653
地铁1号线陕西南路,地铁1号线一大会址·黄陂南路,1141470,1.90245
地铁1号线一大会址·黄陂南路,地铁1号线人民广场,1134660,1.8911
地铁1号线人民广场,地铁1号线新闸路,1494270,2.49045
地铁1号线新闸路,地铁1号线汉中路,1506750,2.51125
地铁1号线汉中路,地铁1号线上海火车站,1969680,3.2828
地铁1号线上海火车站,地铁1号线中山北路,2001840,3.3364
地铁1号线中山北路,地铁1号线延长路,1918050,3.19675
地铁1号线延长路,地铁1号线上海马戏城,1796550,2.99425
地铁1号线上海马戏城,地铁1号线汶水路,1652640,2.7544
地铁1号线汶水路,地铁1号线彭浦新村,1502370,2.50395
地铁1号线彭浦新村,地铁1号线共康路,1257180,2.0953
地铁1号线共康路,地铁1号线通河新村,1067340,1.7789
地铁1号线通河新村,地铁1号线呼兰路,814470,1.35745
地铁1号线呼兰路,地铁1号线共富新村,728040,1.2134
地铁1号线共富新村,地铁1号线宝安公路,518160,0.8636
地铁1号线宝安公路,地铁1号线友谊西路,298290,0.49715
地铁1号线友谊西路,地铁1号线富锦路,230460,0.3841
地铁1号线富锦路,地铁1号线友谊西路,230460,0.3841
地铁1号线友谊西路,地铁1号线宝安公路,298290,0.49715
地铁1号线宝安公路,地铁1号线共富新村,518160,0.8636
地铁1号线共富新村,地铁1号线呼兰路,728040,1.2134
地铁1号线呼兰路,地铁1号线通河新村,814470,1.35745
地铁1号线通河新村,地铁1号线共康路,1067340,1.7789
地铁1号线共康路,地铁1号线彭浦新村,1257180,2.0953
地铁1号线彭浦新村,地铁1号线汶水路,1502370,2.50395
地铁1号线汶水路,地铁1号线上海马戏城,1652640,2.7544
地铁1号线上海马戏城,地铁1号线延长路,1796550,2.99425
地铁1号线延长路,地铁1号线中山北路,1918050,3.19675
地铁1号线中山北路,地铁1号线上海火车站,2001840,3.3364
地铁1号线上海火车站,地铁1号线汉中路,1969680,3.2828
地铁1号线汉中路,地铁1号线新闸路,1506750,2.51125
地铁1号线新闸路,地铁1号线人民广场,1494270,2.49045
地铁1号线人民广场,地铁1号线一大会址·黄陂南路,1134660,1.8911
地铁1号线一大会址·黄陂南路,地铁1号线陕西南路,1141470,1.90245
地铁1号线陕西南路,地铁1号线常熟路,1239180,2.0653
地铁1号线常熟路,地铁1号线衡山路,1243140,2.0719
地铁1号线衡山路,地铁1号线徐家汇,1249470,2.08245
