o,d,volume
地铁1号线莘庄,地铁1号线外环路,2285.0
地铁1号线外环路,地铁1号线莲花路,2157.0
地铁1号线莲花路,地铁1号线锦江乐园,2541.0
地铁1号线锦江乐园,地铁1号线上海南站,2488.0
地铁1号线上海南站,地铁1号线漕宝路,2612.0
地铁1号线漕宝路,地铁1号线上海体育馆,3939.0
地铁1号线上海体育馆,地铁1号线徐家汇,4504.0
地铁1号线徐家汇,地铁1号线衡山路,6786.0
地铁1号线衡山路,地铁1号线常熟路,7136.0
地铁1号线常熟路,地铁1号线陕西南路,7433.0
地铁1号线陕西南路,地铁1号线一大会址·黄陂南路,9173.0
地铁1号线一大会址·黄陂南路,地铁1号线人民广场,12212.0
地铁1号线人民广场,地铁1号线新闸路,19763.0
地铁1号线新闸路,地铁1号线汉中路,20793.0
地铁1号线汉中路,地铁1号线上海火车站,32445.0
地铁1号线上海火车站,地铁1号线中山北路,35143.0
地铁1号线中山北路,地铁1号线延长路,34360.0
地铁1号线延长路,地铁1号线上海马戏城,32827.0
地铁1号线上海马戏城,地铁1号线汶水路,33141.0
地铁1号线汶水路,地铁1号线彭浦新村,35166.0
地铁1号线彭浦新村,地铁1号线共康路,29653.0
地铁1号线共康路,地铁1号线通河新村,25480.0
地铁1号线通河新村,地铁1号线呼兰路,18845.0
地铁1号线呼兰路,地铁1号线共富新村,17232.0
地铁1号线共富新村,地铁1号线宝安公路,12228.0
地铁1号线宝安公路,地铁1号线友谊西路,6583.0
地铁1号线友谊西路,地铁1号线富锦路,5524.0
地铁1号线富锦路,地铁1号线友谊西路,490.0
地铁1号线友谊西路,地铁1号线宝安公路,702.0
地铁1号线宝安公路,地铁1号线共富新村,874.0
地铁1号线共富新村,地铁1号线呼兰路,1160.0
地铁1号线呼兰路,地铁1号线通河新村,1564.0
地铁1号线通河新村,地铁1号线共康路,1451.0
地铁1号线共康路,地铁1号线彭浦新村,1578.0
地铁1号线彭浦新村,地铁1号线汶水路,1719.0
地铁1号线汶水路,地铁1号线上海马戏城,5674.0
地铁1号线上海马戏城,地铁1号线延长路,7728.0
地铁1号线延长路,地铁1号线中山北路,7669.0
地铁1号线中山北路,地铁1号线上海火车站,7590.0
地铁1号线上海火车站,地铁1号线汉中路,7354.0
地铁1号线汉中路,地铁1号线新闸路,7420.0
地铁1号线新闸路,地铁1号线人民广场,7635.0
地铁1号线人民广场,地铁1号线一大会址·黄陂南路,10427.0
地铁1号线一大会址·黄陂南路,地铁1号线陕西南路,13149.0
地铁1号线陕西南路,地铁1号线常熟路,15684.0
地铁1号线常熟路,地铁1号线衡山路,16814.0
地铁1号线衡山路,地铁1号线徐家汇,17417.0
地铁1号线徐家汇,地铁1号线上海体育馆,21118.0
地铁1号线上海体育馆,地铁1号线漕宝路,24727.0
地铁1号线漕宝路,地铁1号线上海南站,24752.0
地铁1号线上海南站,地铁1号线锦江乐园,23516.0
地铁1号线锦江乐园,地铁1号线莲花路,21560.0
地铁1号线莲花路,地铁1号线外环路,17554.0
地铁1号线外环路,地铁1号线莘庄,14794.0
地铁2号线徐泾东,地铁2号线虹桥火车站,1774.0
地铁2号线虹桥火车站,地铁2号线虹桥2号航站楼,8014.0
地铁2号线虹桥2号航站楼,地铁2号线淞虹路,6974.0
地铁2号线淞虹路,地铁2号线北新泾,12546.0
地铁2号线北新泾,地铁2号线威宁路,12303.0
地铁2号线威宁路,地铁2号线娄山关路,12528.0
地铁2号线娄山关路,地铁2号线中山公园,16663.0
地铁2号线中山公园,地铁2号线江苏路,11668.0
地铁2号线江苏路,地铁2号线静安寺,11380.0
地铁2号线静安寺,地铁2号线南京西路,13724.0
地铁2号线南京西路,地铁2号线人民广场,14366.0
地铁2号线人民广场,地铁2号线南京东路,13028.0
地铁2号线南京东路,地铁2号线陆家嘴,15994.0
地铁2号线陆家嘴,地铁2号线东昌路,25816.0
地铁2号线东昌路,地铁2号线世纪大道,29239.0
地铁2号线世纪大道,地铁2号线上海科技馆,27469.0
地铁2号线上海科技馆,地铁2号线世纪公园,28556.0
地铁2号线世纪公园,地铁2号线龙阳路,25847.0
地铁2号线龙阳路,地铁2号线张江高科,16637.0
地铁2号线张江高科,地铁2号线金科路,19021.0
地铁2号线金科路,地铁2号线广兰路,21335.0
地铁2号线广兰路,地铁2号线唐镇,20835.0
地铁2号线唐镇,地铁2号线创新中路,14986.0
地铁2号线创新中路,地铁2号线华夏东路,13777.0
地铁2号线华夏东路,地铁2号线川沙,9496.0
地铁2号线川沙,地铁2号线凌空路,2260.0
地铁2号线凌空路,地铁2号线远东大道,286.0
地铁2号线远东大道,地铁2号线海天三路,140.0
地铁2号线海天三路,地铁2号线浦东国际机场,111.0
地铁2号线浦东国际机场,地铁2号线海天三路,418.0
地铁2号线海天三路,地铁2号线远东大道,700.0
地铁2号线远东大道,地铁2号线凌空路,694.0
地铁2号线凌空路,地铁2号线川沙,663.0
地铁2号线川沙,地铁2号线华夏东路,526.0
地铁2号线华夏东路,地铁2号线创新中路,429.0
地铁2号线创新中路,地铁2号线唐镇,480.0
地铁2号线唐镇,地铁2号线广兰路,1039.0
地铁2号线广兰路,地铁2号线金科路,5810.0
地铁2号线金科路,地铁2号线张江高科,11667.0
地铁2号线张江高科,地铁2号线龙阳路,17540.0
地铁2号线龙阳路,地铁2号线世纪公园,9250.0
地铁2号线世纪公园,地铁2号线上海科技馆,8763.0
地铁2号线上海科技馆,地铁2号线世纪大道,9180.0
地铁2号线世纪大道,地铁2号线东昌路,8848.0
地铁2号线东昌路,地铁2号线陆家嘴,12213.0
地铁2号线陆家嘴,地铁2号线南京东路,23925.0
地铁2号线南京东路,地铁2号线人民广场,26836.0
地铁2号线人民广场,地铁2号线南京西路,21872.0
地铁2号线南京西路,地铁2号线静安寺,21239.0
地铁2号线静安寺,地铁2号线江苏路,19009.0
地铁2号线江苏路,地铁2号线中山公园,16223.0
地铁2号线中山公园,地铁2号线娄山关路,15551.0
地铁2号线娄山关路,地铁2号线威宁路,14988.0
地铁2号线威宁路,地铁2号线北新泾,13946.0
地铁2号线北新泾,地铁2号线淞虹路,11797.0
地铁2号线淞虹路,地铁2号线虹桥2号航站楼,10906.0
地铁2号线虹桥2号航站楼,地铁2号线虹桥火车站,10220.0
地铁2号线虹桥火车站,地铁2号线徐泾东,2732.0
地铁2号线徐泾东,地铁2号线蟠祥路,0.0
地铁2号线蟠祥路,地铁2号线徐泾东,0.0
地铁3号线江杨北路,地铁3号线铁力路,121.0
地铁3号线铁力路,地铁3号线友谊路,485.0
地铁3号线友谊路,地铁3号线宝杨路,957.0
地铁3号线宝杨路,地铁3号线水产路,1180.0
地铁3号线水产路,地铁3号线淞滨路,1317.0
地铁3号线淞滨路,地铁3号线张华浜,1441.0
地铁3号线张华浜,地铁3号线淞发路,1485.0
地铁3号线淞发路,地铁3号线长江南路,1832.0
地铁3号线长江南路,地铁3号线殷高西路,2093.0
地铁3号线殷高西路,地铁3号线江湾镇,1942.0
地铁3号线江湾镇,地铁3号线大柏树,1825.0
地铁3号线大柏树,地铁3号线赤峰路,2555.0
地铁3号线赤峰路,地铁3号线虹口足球场,2540.0
地铁3号线虹口足球场,地铁3号线东宝兴路,3335.0
地铁3号线东宝兴路,地铁3号线宝山路,3620.0
地铁3号线宝山路,地铁3号线上海火车站,5530.0
地铁3号线上海火车站,地铁3号线中潭路,7106.0
地铁3号线中潭路,地铁3号线镇坪路,6767.0
地铁3号线镇坪路,地铁3号线曹杨路,6222.0
地铁3号线曹杨路,地铁3号线金沙江路,3813.0
地铁3号线金沙江路,地铁3号线中山公园,2670.0
地铁3号线中山公园,地铁3号线延安西路,4444.0
地铁3号线延安西路,地铁3号线虹桥路,4834.0
地铁3号线虹桥路,地铁3号线宜山路,5352.0
地铁3号线宜山路,地铁3号线漕溪路,5129.0
地铁3号线漕溪路,地铁3号线龙漕路,5020.0
地铁3号线龙漕路,地铁3号线石龙路,4853.0
地铁3号线石龙路,地铁3号线上海南站,4280.0
地铁3号线上海南站,地铁3号线石龙路,719.0
地铁3号线石龙路,地铁3号线龙漕路,888.0
地铁3号线龙漕路,地铁3号线漕溪路,1718.0
地铁3号线漕溪路,地铁3号线宜山路,2158.0
地铁3号线宜山路,地铁3号线虹桥路,4473.0
地铁3号线虹桥路,地铁3号线延安西路,6283.0
地铁3号线延安西路,地铁3号线中山公园,7958.0
地铁3号线中山公园,地铁3号线金沙江路,11800.0
地铁3号线金沙江路,地铁3号线曹杨路,10827.0
地铁3号线曹杨路,地铁3号线镇坪路,10027.0
地铁3号线镇坪路,地铁3号线中潭路,8337.0
地铁3号线中潭路,地铁3号线上海火车站,7530.0
地铁3号线上海火车站,地铁3号线宝山路,9315.0
地铁3号线宝山路,地铁3号线东宝兴路,10926.0
地铁3号线东宝兴路,地铁3号线虹口足球场,11764.0
地铁3号线虹口足球场,地铁3号线赤峰路,13650.0
地铁3号线赤峰路,地铁3号线大柏树,13299.0
地铁3号线大柏树,地铁3号线江湾镇,12493.0
地铁3号线江湾镇,地铁3号线殷高西路,9978.0
地铁3号线殷高西路,地铁3号线长江南路,7780.0
地铁3号线长江南路,地铁3号线淞发路,6896.0
地铁3号线淞发路,地铁3号线张华浜,6573.0
地铁3号线张华浜,地铁3号线淞滨路,6580.0
地铁3号线淞滨路,地铁3号线水产路,5603.0
地铁3号线水产路,地铁3号线宝杨路,4574.0
地铁3号线宝杨路,地铁3号线友谊路,3848.0
地铁3号线友谊路,地铁3号线铁力路,2690.0
地铁3号线铁力路,地铁3号线江杨北路,2220.0
地铁4号线宜山路,地铁4号线虹桥路,5325.0
地铁4号线虹桥路,地铁4号线延安西路,6170.0
地铁4号线延安西路,地铁4号线中山公园,6172.0
地铁4号线中山公园,地铁4号线金沙江路,8169.0
地铁4号线金沙江路,地铁4号线曹杨路,9141.0
地铁4号线曹杨路,地铁4号线镇坪路,4947.0
地铁4号线镇坪路,地铁4号线中潭路,3400.0
地铁4号线中潭路,地铁4号线上海火车站,3202.0
地铁4号线上海火车站,地铁4号线宝山路,2301.0
地铁4号线宝山路,地铁4号线海伦路,2182.0
地铁4号线海伦路,地铁4号线临平路,2978.0
地铁4号线临平路,地铁4号线大连路,2788.0
地铁4号线大连路,地铁4号线杨树浦路,5235.0
地铁4号线杨树浦路,地铁4号线浦东大道,7133.0
地铁4号线浦东大道,地铁4号线世纪大道,8427.0
地铁4号线世纪大道,地铁4号线浦电路,8542.0
