source,target,weight
莘庄,外环路,1503.156133
外环路,莲花路,1689.430109
莲花路,锦江乐园,1930.961707
锦江乐园,上海南站,2385.922854
上海南站,漕宝路,1969.076534
漕宝路,上海体育馆,1777.081845
上海体育馆,徐家汇,1424.699301
徐家汇,衡山路,1859.905276
衡山路,常熟路,1300.485454
常熟路,陕西南路,1107.614691
陕西南路,一大会址·黄陂南路,1618.76558
一大会址·黄陂南路,人民广场,1649.562683
人民广场,新闸路,1133.408934
新闸路,汉中路,1162.455361
汉中路,上海火车站,944.9825211
上海火车站,中山北路,1553.126022
中山北路,延长路,1760.604436
延长路,上海马戏城,1117.492522
上海马戏城,汶水路,1728.191247
汶水路,彭浦新村,1826.711223
彭浦新村,共康路,1625.79279
共康路,通河新村,1701.222177
通河新村,呼兰路,1204.662134
呼兰路,共富新村,2057.139474
共富新村,宝安公路,1915.149888
宝安公路,友谊西路,1560.401797
友谊西路,富锦路,1498.193971
富锦路,友谊西路,1498.193971
友谊西路,宝安公路,1560.401797
宝安公路,共富新村,1915.149888
共富新村,呼兰路,2057.139474
呼兰路,通河新村,1204.662134
通河新村,共康路,1701.222177
共康路,彭浦新村,1625.79279
彭浦新村,汶水路,1826.711223
汶水路,上海马戏城,1728.191247
上海马戏城,延长路,1117.492522
延长路,中山北路,1760.604436
中山北路,上海火车站,1553.126022
上海火车站,汉中路,944.9825211
汉中路,新闸路,1162.455361
新闸路,人民广场,1133.408934
人民广场,一大会址·黄陂南路,1649.562683
一大会址·黄陂南路,陕西南路,1618.76558
陕西南路,常熟路,1107.614691
常熟路,衡山路,1300.485454
衡山路,徐家汇,1859.905276
徐家汇,上海体育馆,1424.699301
上海体育馆,漕宝路,1777.081845
漕宝路,上海南站,1969.076534
上海南站,锦江乐园,2385.922854
锦江乐园,莲花路,1930.961707
莲花路,外环路,1689.430109
外环路,莘庄,1503.156133
徐泾东,虹桥火车站,2466.899111
虹桥火车站,虹桥2号航站楼,687.8969001
虹桥2号航站楼,淞虹路,6611.700754
淞虹路,北新泾,1640.977306
北新泾,威宁路,1469.449392
威宁路,娄山关路,1926.633941
娄山关路,中山公园,1896.321303
中山公园,江苏路,1680.553477
江苏路,静安寺,1716.813873
静安寺,南京西路,1721.654093
南京西路,人民广场,1483.546831
人民广场,南京东路,1357.93652
南京东路,陆家嘴,2135.74319
陆家嘴,东昌路,1585.890164
东昌路,世纪大道,1407.749289
世纪大道,上海科技馆,2416.673125
上海科技馆,世纪公园,1448.8687
世纪公园,龙阳路,1164.324236
龙阳路,张江高科,3424.098782
张江高科,金科路,1622.325228
金科路,广兰路,2349.984445
广兰路,唐镇,3926.483632
唐镇,创新中路,2034.601296
创新中路,华夏东路,2440.307884
华夏东路,川沙,3251.891724
川沙,凌空路,3013.508646
凌空路,远东大道,3610.113479
远东大道,海天三路,6867.974513
海天三路,浦东国际机场,2675.276861
浦东国际机场,海天三路,2675.276861
海天三路,远东大道,6867.974513
远东大道,凌空路,3610.113479
凌空路,川沙,3013.508646
川沙,华夏东路,3251.891724
华夏东路,创新中路,2440.307884
创新中路,唐镇,2034.601296
唐镇,广兰路,3926.483632
广兰路,金科路,2349.984445
金科路,张江高科,1622.325228
张江高科,龙阳路,3424.098782
龙阳路,世纪公园,1164.324236
世纪公园,上海科技馆,1448.8687
上海科技馆,世纪大道,2416.673125
世纪大道,东昌路,1407.749289
东昌路,陆家嘴,1585.890164
陆家嘴,南京东路,2135.74319
南京东路,人民广场,1357.93652
人民广场,南京西路,1483.546831
南京西路,静安寺,1721.654093
静安寺,江苏路,1716.813873
江苏路,中山公园,1680.553477
中山公园,娄山关路,1896.321303
娄山关路,威宁路,1926.633941
威宁路,北新泾,1469.449392
北新泾,淞虹路,1640.977306
淞虹路,虹桥2号航站楼,6611.700754
虹桥2号航站楼,虹桥火车站,687.8969001
虹桥火车站,徐泾东,2466.899111
蟠祥路,徐泾东,1558.04021
徐泾东,蟠祥路,1558.04021
江杨北路,铁力路,2443.355536
铁力路,友谊路,1964.480604
友谊路,宝杨路,1224.426996
宝杨路,水产路,2047.43879
水产路,淞滨路,1430.329119
淞滨路,张华浜,1876.614383
张华浜,淞发路,1742.020848
淞发路,长江南路,1974.328003
长江南路,殷高西路,1821.115232
殷高西路,江湾镇,1854.435868
江湾镇,大柏树,2113.69019
大柏树,赤峰路,1079.224961
赤峰路,虹口足球场,1357.132824
虹口足球场,东宝兴路,1487.118289
东宝兴路,宝山路,1306.166469
宝山路,上海火车站,2283.085227
上海火车站,中潭路,2067.80139
中潭路,镇坪路,1694.330352
镇坪路,曹杨路,1614.703407
曹杨路,金沙江路,1084.79876
金沙江路,中山公园,1940.107295
中山公园,延安西路,1148.020406
延安西路,虹桥路,1638.233471
虹桥路,宜山路,1581.529173
宜山路,漕溪路,1816.646669
漕溪路,龙漕路,1187.041294
龙漕路,石龙路,1733.89031
石龙路,上海南站,1515.861715
上海南站,石龙路,1515.861715
石龙路,龙漕路,1733.89031
龙漕路,漕溪路,1187.041294
漕溪路,宜山路,1816.646669
宜山路,虹桥路,1581.529173
虹桥路,延安西路,1638.233471
延安西路,中山公园,1148.020406
中山公园,金沙江路,1940.107295
金沙江路,曹杨路,1084.79876
曹杨路,镇坪路,1614.703407
镇坪路,中潭路,1694.330352
中潭路,上海火车站,2067.80139
上海火车站,宝山路,2283.085227
宝山路,东宝兴路,1306.166469
东宝兴路,虹口足球场,1487.118289
虹口足球场,赤峰路,1357.132824
赤峰路,大柏树,1079.224961
大柏树,江湾镇,2113.69019
江湾镇,殷高西路,1854.435868
殷高西路,长江南路,1821.115232
长江南路,淞发路,1974.328003
淞发路,张华浜,1742.020848
张华浜,淞滨路,1876.614383
淞滨路,水产路,1430.329119
