station,losstime
地铁1号线莘庄,1069950
地铁1号线外环路,1125630
地铁1号线莲花路,1375230
地铁1号线锦江乐园,1467540
地铁1号线上海南站,1773180
地铁1号线漕宝路,1663860
地铁1号线上海体育馆,1564650
地铁1号线徐家汇,1687590
地铁1号线衡山路,1282800
地铁1号线常熟路,1428660
地铁1号线陕西南路,1407570
地铁1号线一大会址·黄陂南路,1252530
地铁1号线人民广场,2079570
地铁1号线新闸路,1542390
地铁1号线汉中路,2204880
地铁1号线上海火车站,2293770
地铁1号线中山北路,2045340
地铁1号线延长路,1975650
地铁1号线上海马戏城,1869720
地铁1号线汶水路,1764480
地铁1号线彭浦新村,1534770
地铁1号线共康路,1280730
地铁1号线通河新村,1083210
地铁1号线呼兰路,888750
地铁1号线共富新村,736350
地铁1号线宝安公路,520560
地铁1号线友谊西路,299130
地铁1号线富锦路,230460
地铁2号线徐泾东,223110
地铁2号线虹桥火车站,1130910
地铁2号线虹桥2号航站楼,1066950
地铁2号线淞虹路,1421490
地铁2号线北新泾,1439010
地铁2号线威宁路,1548060
地铁2号线娄山关路,1836420
地铁2号线中山公园,1862460
地铁2号线江苏路,2118210
地铁2号线静安寺,2314230
地铁2号线南京西路,2222610
地铁2号线人民广场,2642190
地铁2号线南京东路,2536830
地铁2号线陆家嘴,2569380
地铁2号线东昌路,2228610
地铁2号线世纪大道,2635530
地铁2号线上海科技馆,1871160
地铁2号线世纪公园,1825620
地铁2号线龙阳路,2204760
地铁2号线张江高科,1651950
地铁2号线金科路,1465740
地铁2号线广兰路,1254420
地铁2号线唐镇,925350
地铁2号线创新中路,656550
地铁2号线华夏东路,594540
地铁2号线川沙,432750
地铁2号线凌空路,158550
地铁2号线远东大道,66360
地铁2号线海天三路,52200
地铁2号线浦东国际机场,33090
地铁2号线蟠祥路,5850
地铁3号线江杨北路,95700
地铁3号线铁力路,150990
地铁3号线友谊路,247380
地铁3号线宝杨路,303180
地铁3号线水产路,372690
地铁3号线淞滨路,442080
地铁3号线张华浜,449400
